BALANCE,FEE,SMS_COUNT,FLOW_DATA,CALL_DURATION,DEVELOP_TYPE,LAST_DEPOSIT_FEE,age,deposit_interval_day,class
378.33,56,0,0,0,2,300,32,6,0
11.09,106,1,6452.11,72,2,100,31,2,0
126.97,41.5,0,9803.04,12,2,300,27,96,0
29.98,23.6,0,484.19,41,2,50,32,73,0
69.56,60.5,1,4070.74,125,2,100,25,50,0
636.68,0,24,31771.37,246,2,300,27,99,0
80.69,39.6,0,2004.88,121,2,100,31,24,0
16.03,25.75,0,3318.45,48,1,50,25,83,0
59.71,95.51,19,3166.04,50,2,20,23,6,0
39.36,159.6,4,105038.96,182,2,200,30,6,0
228.59,21.6,1,14628.5,54,1,50,31,88,0
226.77,249.07,11,1401.13,36,1,100,36,8,0
62.45,57.6,6,18690.81,296,1,100,24,19,0
52.04,78,59,0,283,2,100,24,14,0
26.3,23.7,1,0.15,42,2,30,25,6,0
0,58,1,14421.85,123,2,56,24,1,0
733.83,20,0,8536.13,97,1,50,38,22,0
0,30.6,1,9574.61,280,2,100,30,42,0
62.7,20.2,1,979.08,31,2,50,28,2,0
166.69,31.21,0,158.68,102,2,100,30,4,0
530.68,17.67,3,7385.14,55,2,50,31,65,0
320,9.8,0,5180.73,101,2,100,36,5,0
6.88,198,0,395.06,344,2,100,36,6,0
48.88,82,1,2722.97,446,2,50,40,28,0
479.4,50.6,4,15649.89,81,2,50,26,36,0
0,97.26,0,1200.71,542,2,50,32,18,0
491.52,106,3,3727.63,527,2,100,30,24,0
0,92.5,0,5629.59,411,2,200,29,71,0
234.8,51,20,29084.09,116,2,11,30,31,0
0,191,3,3657.03,176,2,200,26,13,0
262.61,67.8,1,4007.54,14,2,200,37,48,0
56.99,20.6,15,0.08,62,2,50,34,11,0
54.43,40.35,0,0.05,204,2,50,25,33,0
20.78,105.95,4,3410.91,1125,2,10,35,24,0
131.43,52.8,6,20691.35,185,2,50,36,1,0
10.42,30.5,1,1063.46,94,2,30,30,25,0
40.5,95,2,4666.55,60,1,100,28,36,0
14.67,59,5,0,208,2,30,29,5,0
91.28,65.3,0,1379.96,194,2,50,33,96,0
201.7,47.4,2,6018.66,53,2,100,29,59,0
47.47,56,2,706.09,109,1,50,29,2,0
33.16,37.5,2,11390.4,82,2,50,30,24,0
79.5,61,1,13772.24,31,2,50,28,1,0
361.41,35.4,1,11141.76,95,2,300,28,88,0
0,118,8,1549.17,243,2,20,43,18,0
77.5,19,3,145.72,5,2,5,25,21,0
261.73,136,0,2804.72,260,2,100,28,8,0
150,48,6,33769.09,234,2,1,31,42,0
15.32,56,0,586.91,233,2,50,33,29,0
34.74,30,0,0,0,1,100,27,60,0
24.2,20.7,1,261.3,79,2,30,27,6,0
240,158,21,845.78,76,2,200,27,12,0
137.2,77.2,26,7746.97,79,1,300,27,126,0
21.53,21.7,6,6374.36,44,1,30,26,14,0
44.68,88,157,1980.8,33,2,100,24,12,0
387.27,58.6,0,4691.29,160,2,100,27,14,0
54.65,49,0,4500.96,112,2,50,28,0,0
45.48,26.1,3,2902.47,110,2,50,37,25,0
76.9,0,0,21682.63,36,2,50,30,51,0
89.6,21.2,0,6086.17,29,2,100,25,15,0
3814.68,100.8,13,18641.14,748,2,200,31,159,0
50.81,0,3,11671.13,205,2,10,36,86,0
235.2,38.7,0,4711.74,133,1,78.53,33,124,0
0,190.2,2,2531.82,292,1,200,35,12,0
24.4,52.9,1,8626.48,153,2,100,29,18,0
42.85,98.1,0,22700.6,17,2,30,24,9,0
182.04,95.5,7,31199.52,431,1,200,25,13,0
412.3,55.5,7,7696.93,312,2,80,34,175,0
217.41,69.2,6,45599.43,278,1,100,27,99,0
33.58,16.1,0,234.92,38,2,50,26,6,0
237.13,48,6,11887.09,60,1,20,32,80,0
117.36,62,3,7006.29,221,2,10,30,86,0
42.05,22,0,40.82,31,1,50,26,31,0
49.8,49.8,4,5600.13,130,2,50,28,12,0
116.4,27.8,3,3053.49,125,2,50,32,55,0
33.33,231,0,3368.06,346,2,30,28,6,0
2.79,84.5,0,6813.27,189,1,100,25,24,0
292.6,31.9,24,14505.83,199,1,20,27,12,0
0,40.6,6,7218.25,287,2,50,23,26,0
157.85,50.1,0,7129.47,52,1,300,33,94,0
28.59,46.2,6,6460.71,119,2,30,23,14,0
165.31,49.1,0,31498.43,261,2,100,31,101,0
59.9,30.8,13,122.4,149,2,100,31,11,0
4.29,43.9,2,4245.06,4,2,50,28,4,0
75.85,40.2,1,1494.63,105,2,100,24,21,0
47.88,105.82,0,2153.01,91,2,50,29,6,0
1059.88,20,5,19699.54,73,2,10,32,59,0
79.93,83.02,0,2020.26,178,2,20,24,21,0
746.36,14.6,37,4182.59,390,2,300,39,53,0
0,191,0,9910.37,60,2,50,42,11,0
44.8,88.2,9,3849.57,76,2,50,26,13,0
49.9,54.2,18,8162.97,153,2,100,34,39,0
39.1,135.4,17,90197.98,296,2,300,26,65,0
70.8,31.2,0,23040.76,283,2,100,31,33,0
23.68,46.9,0,41035.6,40,2,50,36,21,0
52.5,56.9,3,29040.2,314,2,50,31,62,0
168.6,46,3,2306.06,204,1,300,26,91,0
4594,26.2,14,2576.25,116,2,200,31,154,0
203.29,139,1,10243.36,10,2,100,23,6,0
0,96.6,7,5903.1,690,2,101.3,25,0,0
31.03,28.9,2,36.88,115,2,30,30,0,0
0,70.2,0,9285.06,303,2,100,40,101,0
64.26,37,1,1259.72,66,1,50,33,0,0
52.8,53.9,5,10232.8,319,1,100,29,30,0
19.48,46.5,2,17920.86,126,1,10,21,-1,0
0,0,0,0,0,2,30,31,197,1
0,0,0,0,0,2,50,28,225,1
86.14,131,17,27952.4,842,1,20,21,0,0
33.01,40.8,0,18872.79,9,1,50,26,28,0
68.23,83.2,1,69023.03,53,1,100,25,21,0
162.06,28.4,1,13393.83,42,1,10,28,55,0
0,0,0,0,0,2,30,27,209,1
100.3,71.8,0,31150.59,1,1,100,27,9,0
63.36,37.5,0,19747.19,73,1,100,28,36,0
171.53,102.8,5,5827.06,277,1,100,30,15,0
95.15,28.7,0,732.79,0,1,100,21,19,0
0,0,0,0,0,1,30,28,213,1
107.53,46.6,0,16114.65,3,1,300,35,167,0
73.49,28,3,525.67,0,1,100,49,42,0
0,0,0,0,0,2,100,21,397,1
57.09,36.3,0,13429.35,0,1,20,25,22,0
231.72,52.4,10,4151.18,499,1,30,26,53,0
0,0,0,0,0,1,30,52,242,1
28.2,60.2,0,25001.36,148,1,50,25,12,0
0,0,0,0,0,2,50,25,240,1
0,0,0,0,0,2,100,23,533,1
11.81,0,0,0,0,2,20,25,78,1
0.48,38.83,0,2998.16,0,1,10,22,39,1
50.1,23.5,1,20760.75,20,1,100,43,66,0
51.2,42.7,3,3691.63,12,1,50,24,9,0
25.06,19.3,0,14.23,0,1,20,27,31,0
39,57,2,5652.92,134,1,50,25,17,0
